This is the initial evaluation order of activities computed by FET. If the generation gets stuck after a certain number of activities, please check the activity corresponding to this number+1. You might find errors in your input.

The initial order of activities (id-s):

No: 1, Id: 20, Teachers: teacher1, Subject: chemistry, Activity tags: tag1, Students: 2020
No: 2, Id: 19, Teachers: teacher1, Subject: chemistry, Activity tags: tag1, Students: 2020
No: 3, Id: 2, Teachers: teacher2, Subject: maths, Activity tags: tag1, Students: 2020
No: 4, Id: 4, Teachers: teacher2, Subject: physics, Activity tags: tag1, Students: 2020
No: 5, Id: 5, Teachers: teacher2, Subject: physics, Activity tags: tag1, Students: 2020
No: 6, Id: 13, Teachers: teacher1, Subject: chemistry, Activity tags: tag1, Students: 2019
No: 7, Id: 14, Teachers: teacher1, Subject: chemistry, Activity tags: tag1, Students: 2019
No: 8, Id: 7, Teachers: teacher2, Subject: physics, Activity tags: tag1, Students: 2019
No: 9, Id: 8, Teachers: teacher2, Subject: physics, Activity tags: tag1, Students: 2019
No: 10, Id: 10, Teachers: teacher2, Subject: maths, Activity tags: tag1, Students: 2019
No: 11, Id: 11, Teachers: teacher2, Subject: maths, Activity tags: tag1, Students: 2019
End - the order of activities (id-s)
